id,name,sort_name,institution,country,region,research_area_1,research_area_2,keywords,website,website_2,career_stage,roster,notes,source
gladfelter-amy,"Gladfelter, Amy","gladfelter, amy","Univ of North Carolina, Chapel Hill",US,North America,Cell biology,Genetics/Genomics,Fungal Cell Biology; Ashbya,http://gladfelterlab.web.unc.edu/,,Intermediate,faculty,,wrifo-workbook; airtable
glass-louise,"Glass, Louise","glass, louise","Univ California, Berkeley",US,North America,Genetics/Genomics,Cell biology,Fungal Genetics; Plant Biomass degradation; Neurospora,http://glasslab.berkeley.edu/,,Senior,faculty,,wrifo-workbook; airtable
glassman-sydney,"Glassman, Sydney","glassman, sydney","Univ California, Riverside",US,North America,Ecology,Evolution,,http://plantpath.ucr.edu/people/faculty/glassman.html,,Junior,faculty,,wrifo-workbook; airtable
goss-erica,"Goss, Erica","goss, erica",University of Florida,US,North America,Plant Pathology,Evolution,Oomycetes; Population Genetics and Genomics; Phylogeography,http://plantpath.ifas.ufl.edu/faculty/erica-goss/,,Junior,faculty,,wrifo-workbook; airtable
govers-francine,"Govers, Francine","govers, francine",Wageningen Univ,NL,Europe,Plant Pathology,Genetics/Genomics,Plant-Microbe Interactios; Phytophthora,https://www.wageningenur.nl/en/Persons/Francine-Govers-1.htm,,Senior,faculty,,wrifo-workbook; airtable
grenville-briggs-laura,"Grenville-Briggs, Laura","grenville-briggs, laura",SLU,SE,Europe,Evolution,Biochemistry,Cell walls; Oomycetes; Phytophthora,http://www.slu.se/en/departments/plant-protection-biology/personnel/laura-grenville-briggs/,,Junior,faculty,,wrifo-workbook; airtable
guerra-sanchez-guadalupe,"Guerra-Sánchez, Guadalupe","guerra-sanchez, guadalupe",Instituto Politécnico Nacional,MX,North America,Biochemistry,Biotechnology,fungus control; yeasts; Basidiomycetes; Microbe interactions,https://www.encb.ipn.mx/posgrado/maestria-ciencias-quimico-biologicas/guerra-sanchez.html,,Senior,faculty,,wrifo-workbook; airtable
gunde-cimerman-nina,"Gunde-Cimerman, Nina","gunde-cimerman, nina",Univ. Ljubljana,SI,Europe,Genetics/Genomics,Medical Mycology,Extremophile Fungi; Aureobasidium; Hortaea,https://www.researchgate.net/profile/Nina_Gunde-cimerman,,Senior,faculty,,wrifo-workbook; airtable
gurr-sarah,"Gurr, Sarah","gurr, sarah",Univ Exeter,GB,Europe,Plant Pathology,,Crop disease; Biotechnology; Magnaporthe,http://biosciences.exeter.ac.uk/staff/index.php?web_id=Sarah_Gurr,,Senior,faculty,,wrifo-workbook; airtable
gusa-asiya,"Gusa, Asiya","gusa, asiya",Duke University,US,North America,Medical Mycology,Genetics/Genomics,transposons; Cryptococcus; thermoadaptation and heat stress,https://medschool.duke.edu/profile/asiya-gusa,,Junior,faculty,,wrifo-workbook
gutjahr-caroline,"Gutjahr, Caroline","gutjahr, caroline",Technical University of Munich,DE,Europe,Ecology,Genetics/Genomics,arbuscular mycorrhiza symbiosis,https://www.professoren.tum.de/en/gutjahr-caroline,,Junior,faculty,,wrifo-workbook; airtable
haden-helen,"Haden, Helen","haden, helen","Ariculture Victoria, Victoria State Gov",AU,Australia/NZ,Ecology,Plant Pathology,Microbial Ecology; Rhizoctonia; Plant-Soil-Microbe interactions; omics,http://agriculture.vic.gov.au/,,Intermediate,faculty,,wrifo-workbook; airtable
hadziabdic-guerry-denita,"Hadziabdic Guerry, Denita","hadziabdic guerry, denita",Univ Tennessee,US,North America,Plant Pathology,Evolution,Population genetics; Molecular Biology; Tree pathology; Diversity; Plant disease,https://ag.tennessee.edu/EPP/Pages/HadziabdicGuerryLab.aspx,,Intermediate,faculty,,wrifo-workbook; airtable
hall-rebecca,"Hall, Rebecca","hall, rebecca",University of Birmingham Univ,GB,Europe,Cell biology,Medical Mycology,Genetics; Pathogenesis; Candida; bacterial-fungal interaction; host-pathogen interaction,http://www.birmingham.ac.uk/staff/profiles/biosciences/hall-rebecca.aspx,,Junior,faculty,,wrifo-workbook; airtable
hallen-adams-heather,"Hallen-Adams, Heather","hallen-adams, heather",Univ Nebraska,US,North America,Genetics/Genomics,Evolution,Food Mycology,https://foodsci.unl.edu/hallenadams,,Junior,faculty,,wrifo-workbook; airtable
