Name,Institution (Country code),Region (select from pulldown),Research Area 1 (select from pulldown),Research Area 2 (select from pulldown),Keywords,"Lab website (research website, Not linkedIn etc)",Career Stage Jr=asst prof or equiv; Sr=full prof or equiv),
"U'Ren, Jana",University of Arizona (US),North America,Ecology,Evolution,Molecular Ecology; Evolution; Metagenomics;,https://cals.arizona.edu/mycoherb/arnoldlab/juren.html,Junior,
"Uehling, Jessie","Oregon State University, (US)",North America,Genetics/Genomics,Evolution,"Genetics/genomics,Evolutionary Genomics; Population Genomics; Fungal Diversity; Symbioses,",http://jessieuehling.com/,Junior,
"Uppuluri, Priya",Harbor-UCLA Medical Center (US),North America,Medical Mycology,Cell biology,Candida albicans; Biofilms,https://lundquist.org/priya-uppuluri-phd,Junior,
"Vacher, Corinne","INRA, Bordeaux (FR)",Europe,Ecology,Evolution,Ecology; Evolution; Forest pathology; Phyllosphere; Network ecology; Environmental genomics; Climate change,https://corinnevacher.wordpress.com,Junior,No longer research active
"van Munster,  Jolanda",SRUC,Europe,Biotechnology,Biochemistry,"Anaerobic gut fungi; Aspergillus; carbohydrates; lignocellulolytic enzymes, gut microbiome; fungal-bacterial interactions",https://pure.sruc.ac.uk/en/persons/jolanda-van-munster,Junior,
"Vega-Oliveros, Carolina",Universidad Nacional sede Bogotá (CO),South America,Biochemistry,,"metabolomics, proteomics, bioactivity, functional food",http://orcid.org/0000-0001-6425-6759,Junior,
"Vélez Aguilar, Patricia",National Autonomous University of Mexico (UNAM) (MX),North America,Ecology,Genetics/Genomics,"Marine Fungi, Population genetics, conservation",http://www.ib.unam.mx/directorio/231,Junior,
"Villari, Caterina",University of Georgia (US),North America,Plant Pathology,Plant Pathology,Forest pathology; Ophiostomatales,http://villarilab.com/,Junior,
"Voelz, Kerstin",Univ Birmingham (UK),Europe,Medical Mycology,Genetics/Genomics,med mycol; zygomycetes; Cryptococcus; host interactions,http://www.birmingham.ac.uk/schools/biosciences/staff/profile.aspx?ReferenceId=81523,Junior,No longer research active
"Walker, Allison","Acadia University, Nova Scotia (CA)",North America,Ecology,Genetics/Genomics,Marine fungi; endophytes,https://bayoffungi.wordpress.com/,Junior,
"Waller, Lauren",Lincoln Univeristy,Australia/NZ,Ecology,,Community ecology; Plant-microbe interactions; Arbuscular mycorrhizal fungi; Fungal pathogens; Oomycetes,https://bioprotection.org.nz/Waller+Lauren,Junior,
"Wear, Maggie","Johns Hopkins School of Public Health, Department of Molecular Microbiology and Immunology",North America,Biochemistry,,"Polysaccharide Capsule, Cryptococcus, NMR, Glycan Structure, Catalytic Antibody",https://www.jhsph.edu/faculty/directory/profile/3829/maggie-p-wear,Junior,
"Wohlbach, Dana",Dickinson College,North America,Genetics/Genomics,,Genomics; Saccharomyces,https://www.dickinson.edu/site/custom_scripts/dc_faculty_profile_index.php?fac=wohlbacd,Junior,
"Wozniak, Karen",Oklahoma State University,North America,Medical Mycology,Immunology,"Cryptococcus, innate immunity, antifungal immunity",wozniaklab.okstate.edu,Junior,
"Zhai, Bing",Shenzhen Institute of Advanced Technology,Asia,Medical Mycology,,Microbiome; Candida,https://scholar.google.co.uk/citations?hl=en&user=j0ISf1kAAAAJ&view_op=list_works&sortby=pubdate,Junior,
"McDonald, Megan",Australian National University  (AUS),Australia/NZ,Plant Pathology,Genetics/Genomics,Population Genetics; Genomics; Zymoseptoria,https://researchers.anu.edu.au/researchers/mcdonald-mc,Postdoc,
"Rhodes, Johanna",Imperial College London (UK),Europe,Genetics/Genomics,Evolution,Phylogenetics; Population genomics,http://www.imperial.ac.uk/people/johanna.rhodes,Postdoc,
"Usher, Jane",Univ Exeter (UK),Europe,Genetics/Genomics,Medical Mycology,med mycol; Candida glabrata,http://biosciences.exeter.ac.uk/staff/index.php?web_id=Jane_Usher,Postdoc,
"Aitken, Elizabeth (Liz)",University of Queensland,Australia/NZ,Plant Pathology,Genetics/Genomics,Diagnostics,https://researchers.uq.edu.au/researcher/352,Senior,
"Alexander, Barbara",Duke University (US),North America,Medical Mycology,Genetics/Genomics,,https://mgm.duke.edu/personnel/barbara-d-alexander-md-mhs,Senior,
"Arnold, A. Elizabeth (Betsy)",Univ Arizona (US),North America,Ecology,Evolution,Endophytes; Evolution; Lichen,http://arnoldlab.net/,Senior,
"Banuett, Flora","California State University, Longbeach (US)",North America,Cell biology,Cell biology,"Ustilago maydis, genetics",http://web.csulb.edu/depts/biology/people/faculty.htm,Senior,
Beatriz Gomez,Universidad del Rosario,South America,Medical Mycology,,"Diagnostics, Paracoccidioides, Histoplasma",http://orcid.org/0000-0002-6641-1924,Senior,
"Bell-Pedersen, Deborah",Texas A&M University (US),North America,Cell biology,Genetics/Genomics,Circadian Rythmn; Neurospora,http://www.bio.tamu.edu/index.php/texas-am-department-of-biology-2/faculty-deb-bell-pedersen/,Senior,
"Bennett, Joan",Rutgers University (US),North America,Biochemistry,Genetics/Genomics,Toxins; Aspergillus,http://plantbiopath.rutgers.edu/faculty/bennett/bennett.html,Senior,
"Berbee, Mary",Univ British Colombia (CA),North America,Evolution,Genetics/Genomics,Evolution; Mycology; Systematics; Chytrids,https://botany.ubc.ca/people/mary-berbee,Senior,
"Berch, Shannon","BC Ministry of Forests, Victoria",North America,Ecology,Evolution,Mycorrhizae,https://botany.ubc.ca/people/shannon-berch,Senior,
"Berman, Judith",Tel Aviv University (IL),Europe,Cell biology,Genetics/Genomics,Chromosome Dynamics; Candida; Saccharomyces,https://en-lifesci.tau.ac.il/profile/jberman,Senior,
"Boddy, Lynne",Cardiff University (UK),Europe,Ecology,Ecology,"Wood decay, cord-forming nasidiomycetes",http://www.cardiff.ac.uk/people/view/81120-boddy-lynne,Senior,
"Bonfante, Paola",Univ. Torino (IT),Europe,Cell biology,Genetics/Genomics,Plant-Microbe interactions; Arbuscular mycorrhizal fungi,http://naturali.campusnet.unito.it/do/docenti.pl/Show?_id=pbonfant,Senior,
"Borkovich, Katherine","Univ California, Riverside",North America,Genetics/Genomics,Signaling,Signaling; Fungal Genetics; Neurospora,http://plantpath.ucr.edu/people/faculty/borkovich.html,Senior,
