sheet,cell,row_name,date,resolved,replies,looks_like_a_request,row_in_directory,names_not_in_directory,text
Faculty,A1,Name,2018-04-21,yes,0,yes,no,,"Please add Dr. Sonia Chadha
Email id : [email redacted]"
Faculty,A84,"Rao, Reeta",2018-04-21,yes,2,,yes,,"Also Catherine Bachewich at Concordia https://www.concordia.ca/artsci/biology/faculty.html?fpid=catherine-bachewich (Candida morphogenesis and cell cycle)

Reeta Rao, WPI (https://www.wpi.edu/people/faculty/rpr)

Added both, thanks!"
Faculty,A302,"Jones, Melanie",2018-04-21,yes,1,yes,yes,,"Please add:
1) Dr. Melanie Jones from University of British Columbia Okanagan Campus, Kelowna, BC, Canada, Research Interests

-ecophysiology of ectomycorrhizae

-microbiology of forest soils

-forestry and ectomycorrhizae 

-in situ approaches to studying physiology of roots and hyphae

-influence of symbiotic fungi, called mycorrhizal fungi, on nutrient intake by woody plants

Lab website: http://joneslab.ok.ubc.ca/The_Jones_Lab.html

2) Dr. Miranda Hart from University of British Columbia Okanagan Campus, Kelowna, BC, Canada, Research Interests: 
soil conservation
mycorrhizal ecology
Lab website: http://www.mirandahart.ca/

Added Melanie and Miranda"
Faculty,A160,"Geddes-McAlister, Jennifer",2018-04-21,yes,1,,yes,"Geddes-, Jennifer","Please include Jennifer Geddes-McAlister, starting at the University of Guelph in a few months: https://www.uoguelph.ca/mcb/people/dr-jennifer-geddes-mcalister (fungal host pathogen interactions, proteomics)

Added Jennifer!"
Faculty,A39,"Gaya, Ester",2018-04-23,yes,1,yes,yes,"Richmond, Surrey","Please add:
Dr. Ester Gaya
Senior Research Leader | Comparative Fungal Biology
Jodrell laboratory
Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3DS, UK
https://www.kew.org/science/who-we-are-and-what-we-do/people/ester-gaya

I have added you and these additional suggestions - in general we are not including Postdocs or those still training as there are often other mechanisms to improve their visibility but we want to make sure and not lose the female PIs from consideration as invited speakers."
Faculty,A191,"Martinez Suz, Laura",2018-04-23,yes,0,yes,yes,"Martinez, Laura; Richmond, Surrey","Please add:
Dr. Laura Martinez Suz
Research Leader | Comparative Fungal Biology             
Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3DS, UK"
Faculty,A198,"Niskanen, Tuula",2018-04-23,yes,0,yes,yes,"Richmond, Surrey","Please add:
Tuula Niskanen
Research Leader | Identification & Naming Department.      
Royal Botanic Gardens, Kew, Richmond, Surrey, TW9 3DS, UK"
Faculty,A39,"Gaya, Ester",2018-04-24,yes,0,,yes,,"Thank you Jason!
Just to clarify. Laura and Tuula are not postdocs, but Research Leaders. For the first time in Kew mycology history, three women have secured senior positions. I think it is quite an accomplishment! :-)
I am currently holding the most senior post, leading a new Kew mycology strategy. Laura and Tuula are developing their own groups. I wouldn't consider them junior.  They are quite well established researchers. Thanks for doing this!"
Faculty,A1,Name,2018-04-24,yes,1,,no,"Fritz-, Lillian","Two women who are missing are Maiko Kagami (ToHo University, Japan) and Martha Powell (University of Alabama).

Another individual one might consider adding is Lillian Fritz-Laylin at University of Massachusetts Amherst."
Faculty,A1,Name,2018-04-24,yes,0,,no,,"Can I be (please) added to the list as a postdoc?
Emilia Hannula, Netherlands Institute of Ecology (NIOO-KNAW), Europe, Ecology,  - , interests: plant-fungal interactions, AMF, https://nioo.knaw.nl/nl/employees/emilia-hannula"
